link	Qty	Value	Device	Package	Parts	Description	MF	MFG	MFN	MPN	OC_FARNELL	OC_NEWARK	PACKAGE	PROD_ID	SUPPLIER	VALUE
http://www.digikey.com/product-detail/en/MPU-9150/1428-1009-1-ND/4038014	1		MPU-9150QFN-24-NP	QFN-24-NP	U5	9DOF (3mag, 3accel, 3rotat). I2C interface.										
http://www.digikey.com/product-detail/en/GRM188R71C104KA01D/490-1532-1-ND/587771	14	.1uf	C-USC0603	C0603	C3, C4, C5, C6, C8, C10, C11, C12, C13, C19, C22, C23, C24, C25	CAPACITOR, American symbol										
http://www.digikey.com/product-detail/en/RU1608FR022CS/1276-6154-1-ND/3969126	3	0.22	R-US_R0402	R0402	R6, R10, R11	RESISTOR, American symbol										
http://www.digikey.com/product-detail/en/ERJ-2GEJ185X/P1.8MJCT-ND/146923	1	1.8M	R-US_R0402	R0402	R8	RESISTOR, American symbol										
http://www.digikey.com/product-detail/en/RMCF0402JT100R/RMCF0402JT100RCT-ND/1942933	4	100	R-US_R0402	R0402	R1, R5, R7, R12	RESISTOR, American symbol										
	2	10F	CPOL-USE5-10.5	E5-10,5	C1, C2	POLARIZED CAPACITOR, American symbol										
http://www.digikey.com/product-detail/en/AMK107ABJ106MAHT/587-3261-1-ND/4157228	2	10uf	C-USC0603	C0603	C7, C9	CAPACITOR, American symbol										
http://www.digikey.com/product-detail/en/C0603C180J5GACTU/399-1052-1-ND/411327	2	18pf	C-USC0603	C0603	C20, C21	CAPACITOR, American symbol										
http://www.digikey.com/product-detail/en/ERJ-2RKF2003X/P200KLCT-ND/194254	2	200k	R-US_R0402	R0402	R2, R9	RESISTOR, American symbol										
http://www.digikey.com/product-detail/en/403C35D25M00000/CTX953CT-ND/2640300	1	25Mhz	CRYSTAL-GROUNDED	CRYSTAL-SMD-5X3	Q1											
	10	2MMPAD	2MMPAD	2MMPAD	J1, J2, J3, J4, J5, J6, J7, J8, J9, J10											
http://www.digikey.com/product-detail/en/RMCF0402FT2K00/RMCF0402FT2K00CT-ND/1942922	3	2k	R-US_R0402	R0402	R3, R4, R13	RESISTOR, American symbol										
http://www.digikey.com/product-detail/en/F981C475MMA/478-8656-1-ND/4005565	5	4.7uf	C-USC0603	C0603	C14, C15, C16, C17, C18	CAPACITOR, American symbol										
http://www.digikey.com/product-detail/en/RMCF0402FT47K0/RMCF0402FT47K0CT-ND/2417703	1	47k	R-US_R0402	R0402	R14	RESISTOR, American symbol										
	1	B3B-ZR	B3B-ZR	B3B-ZR	CON1	JST-ZH Connector										
http://www.digikey.com/product-detail/en/BAT20JFILM/497-3381-1-ND/669138	2	BAT20JFILM	BAT20JFILM	SOD-323	D1, D2	23V, 1A Schottky diode, SOD-323 package								DIO-11623		BAT20JFILM
http://www.digikey.com/product-detail/en/DRV8830DGQR/296-28165-1-ND/2520907	3	DRV8830	DRV8830	MSOP-10-GNDPAD	U1, U3, U4	DRV8830 I2C DC Motor Driver								IC-11646		
http://www.mouser.com/ProductDetail/Texas-Instruments/MSP430F5504IRGZT/?qs=sGAEpiMZZMsp%252bcahb6g%252bW6aDw3yU4kF5gtBQZioCZhk%3d	1	MSP430F5500IRGZR	MSP430F5500IRGZR	QFN50P700X700X100-49N	U2	MIXED SIGNAL MICROCONTROLLER				MSP430F5500IRGZR	1972383	27T6606	VQFN-48		TEXAS INSTRUMENTS	
	6	ROUND1MM	ROUND1MM	ROUND1MM	J11, J12, J13, J14, J15, J16											
http://www.digikey.com/product-detail/en/VLF4012AT-2R2M1R5/445-3233-1-ND/1132874	1	TDK-VLF4012AT-2R2M1R5	TDK-VLF4012AT-2R2M1R5	TDK-VLF4012AT-2R2M1R5	L1			TDK	VLF4012AT-2R2M1R5							
http://www.digikey.com/product-detail/en/TPS63000DRCR/296-19641-1-ND/1016511	1	TPS6300	TPS6300	DRC-S-PVSON-N10	IC1	HIGH EFFICIENT SINGLE INDUCTOR BUCK-BOOST CONVERTER WITH 1.8-A SWITCHES				TPS63000DRCTG4	1511852	59M7217				
http://www.digikey.com/product-detail/en/TPS77033DBVR/296-11051-1-ND/381412	1	TPS77033	TPS77033	SOT23-DBV	IC2	ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS	TEXAS INSTRUMENTS			TPS77033DBVT	8461570	77C1187				
